threshold,precision,recall,f1,f2,FP,FN,TP,TN
0.3,0.9709418837675351,0.969,0.96996996996997,0.9693877551020408,29,31,969,971
0.35,0.9785932721712538,0.96,0.9692074709742554,0.9636619152780567,21,40,960,979
0.4,0.9835221421215242,0.955,0.9690512430238457,0.9605713136189902,16,45,955,984
0.45,0.9884332281808622,0.94,0.9636084059456689,0.9493031710765502,11,60,940,989
0.5,0.9924892703862661,0.925,0.9575569358178054,0.9377534468775345,7,75,925,993
0.6,0.9988925802879292,0.902,0.9479768786127167,0.9198449928615133,1,98,902,999
0.7,1.0,0.872,0.9316239316239316,0.8949096880131363,0,128,872,1000
