Model,Accuracy,Precision,Recall,F1,F2,MCC,ROC_AUC,TN,FP,FN,TP
Random Forest,0.959,0.9924892703862661,0.925,0.9575569358178054,0.9377534468775345,0.9201298050165317,0.9948170000000001,993,7,75,925
Gradient Boosting,0.9225,0.9658213891951488,0.876,0.918720503408495,0.8926024047279397,0.848678078546997,0.9725324999999999,969,31,124,876
Decision Tree,0.9195,0.9761634506242906,0.86,0.9144072301967039,0.8809670149559516,0.8450043863794436,0.960742,979,21,140,860
Logistic Regression,0.884,0.9257206208425721,0.835,0.8780231335436383,0.8516931864545083,0.7717147146073615,0.9490629999999999,933,67,165,835
