Model,Accuracy,Precision,Recall,F1,F2,MCC,ROC_AUC,TN,FP,FN,TP
Gradient Boosting,0.8707520891364903,0.8727272727272727,0.8783638320775027,0.8755364806866953,0.8772307030746076,0.741141155978921,0.939088692055079,747,119,113,816
Decision Tree,0.8685236768802228,0.8778625954198473,0.8665231431646933,0.8721560130010835,0.8687675372328945,0.7369126548392119,0.9114937713949042,754,112,124,805
Random Forest,0.8033426183844011,0.7530755711775043,0.922497308934338,0.8292210933720368,0.8827770910589204,0.6203352684451926,0.9221672960321387,585,281,72,857
Logistic Regression,0.8178272980501393,0.8077709611451943,0.8503767491926802,0.8285264813843733,0.8414997869620793,0.635457779470284,0.9244562555779017,678,188,139,790
